"parent","node","branch.length","label","date","geo_loc_name_country","isTip","x","y","branch","angle"
238,1,0.00071,"ERR337777","72.381058","UK",TRUE,72.38111,2,72.380755,3.06382978723404
238,2,0.00071,"ERR363367","72.381058","UK",TRUE,72.38111,3,72.380755,4.59574468085106
237,3,77.9586,"SRR20982497","91.693687","Switzerland",TRUE,91.6937,1,52.7144,1.53191489361702
241,4,2.32561,"ERR369140","85.840197","Denmark",TRUE,85.84022,6,84.677415,9.19148936170213
242,5,8.1784,"DRR317546","91.693689","Taiwan",TRUE,91.69372,7,87.60452,10.7234042553191
242,6,5.806,"ERR5412274","89.321296","UK",TRUE,89.32132,8,86.41832,12.2553191489362
243,7,12.4996,"ERR1413187","26.71069","Germany",TRUE,26.7107,4,20.4609,6.12765957446809
243,8,9.66018,"SRR32604953","23.87128","China",TRUE,23.87128,5,19.04119,7.65957446808511
245,9,22.9885,"ERR3198427","29.112845","UK",TRUE,29.11289,9,17.61864,13.7872340425532
245,10,32.0857,"SRR14719221","38.210037","Singapore",TRUE,38.21009,10,22.16724,15.3191489361702
252,11,0.00071,"ERR5412758","17.315481","UK",TRUE,17.31548,14,17.315125,21.4468085106383
252,12,1.0332,"ERR5412514","18.347968","UK",TRUE,18.34797,15,17.83137,22.9787234042553
251,13,1.05112,"ERR5414037","18.351532","UK",TRUE,18.35153,13,17.82597,19.9148936170213
253,14,2.09812,"ERR5413674","19.398534","UK",TRUE,19.39853,16,18.34947,24.5106382978723
254,15,0.00071,"ERR5414164","18.34915","UK",TRUE,18.34915,17,18.348795,26.0425531914894
256,16,0.00071,"ERR5413967","22.560787","UK",TRUE,22.56079,19,22.560435,29.1063829787234
257,17,0.00071,"ERR5413429","22.561497","UK",TRUE,22.5615,20,22.561145,30.6382978723404
257,18,0.00071,"ERR5414326","22.561497","UK",TRUE,22.5615,21,22.561145,32.1702127659574
255,19,0.00071,"ERR5412064","22.560077","UK",TRUE,22.56008,18,22.559725,27.5744680851064
261,20,1.04693,"ERR5413453","19.398819","UK",TRUE,19.39882,23,18.875355,35.2340425531915
261,21,1.04693,"ERR5412465","19.398819","UK",TRUE,19.39882,24,18.875355,36.7659574468085
263,22,0.00071,"ERR5413958","19.39883","UK",TRUE,19.39882,25,19.398465,38.2978723404255
263,23,0.00071,"ERR5412291","19.39883","UK",TRUE,19.39882,26,19.398465,39.8297872340426
264,24,0.00071,"ERR5413085","20.449283","UK",TRUE,20.44928,27,20.448925,41.3617021276596
264,25,0.00071,"ERR5414236","20.449283","UK",TRUE,20.44928,28,20.448925,42.8936170212766
259,26,0.00071,"ERR5413234","17.30112","UK",TRUE,17.30112,22,17.300765,33.7021276595745
270,27,0.00071,"ERR5414144","17.30467","UK",TRUE,17.30467,86,17.304315,131.744680851064
271,28,0.00071,"ERR5413063","17.30538","UK",TRUE,17.30538,87,17.305025,133.276595744681
271,29,0.00071,"ERR5412744","17.30538","UK",TRUE,17.30538,88,17.305025,134.808510638298
272,30,1.05199,"ERR5413962","18.355951","UK",TRUE,18.35595,84,17.829955,128.68085106383
272,31,0.00071,"ERR5413511","17.30467","UK",TRUE,17.30467,85,17.304315,130.212765957447
275,32,1.04831,"ERR5413417","18.35298","UK",TRUE,18.35298,89,17.828825,136.340425531915
275,33,2.10106,"ERR5413469","19.405727","UK",TRUE,19.40573,90,18.3552,137.872340425532
277,34,0.00071,"ERR5413965","18.352754","UK",TRUE,18.35275,92,18.352395,140.936170212766
277,35,0.00071,"SRR6388757","18.352754","UK",TRUE,18.35275,93,18.352395,142.468085106383
276,36,2.10736,"ERR5414237","19.412029","UK",TRUE,19.41203,91,18.35835,139.404255319149
279,37,0.00071,"ERR5412027","17.30538","UK",TRUE,17.30538,94,17.305025,144
280,38,2.09806,"ERR5413554","19.403442","UK",TRUE,19.40344,95,18.35441,145.531914893617
281,39,0.00071,"ERR5413127","18.35412","UK",TRUE,18.35412,96,18.353765,147.063829787234
282,40,0.00071,"ERR5412575","20.451065","UK",TRUE,20.45106,97,20.450705,148.595744680851
283,41,0.00071,"ERR5413796","20.451775","UK",TRUE,20.45177,98,20.451415,150.127659574468
284,42,0.00071,"ERR5413363","20.452485","UK",TRUE,20.45248,99,20.452125,151.659574468085
284,43,0.00071,"ERR5412142","20.452485","UK",TRUE,20.45248,100,20.452125,153.191489361702
287,44,0.00071,"ERR5412991","19.401357","UK",TRUE,19.40136,109,19.401005,166.978723404255
287,45,0.00071,"ERR5412919","19.401357","UK",TRUE,19.40136,110,19.401005,168.510638297872
289,46,1.04885,"ERR5412887","19.402989","UK",TRUE,19.40299,111,18.878565,170.042553191489
290,47,0.00071,"ERR5412568","23.615729","UK",TRUE,23.61573,112,23.615375,171.574468085106
291,48,0.00071,"ERR5412881","23.616439","UK",TRUE,23.61644,113,23.616085,173.106382978723
291,49,0.00071,"ERR5413472","23.616439","UK",TRUE,23.61644,114,23.616085,174.63829787234
293,50,1.05114,"ERR5412786","19.405992","UK",TRUE,19.40599,117,18.88042,179.234042553192
294,51,3.14399,"ERR5414253","21.499555","UK",TRUE,21.49955,118,19.927555,180.765957446808
294,52,3.14294,"ERR5412690","21.498497","UK",TRUE,21.4985,119,19.92703,182.297872340426
295,53,0.00071,"ERR5412310","18.355561","UK",TRUE,18.35556,115,18.355205,176.170212765957
295,54,0.00071,"ERR5412397","18.355561","UK",TRUE,18.35556,116,18.355205,177.702127659574
296,55,6.42178,"ERR5412008","23.727162","UK",TRUE,23.72716,101,20.51627,154.723404255319
298,56,0.00071,"ERR5412096","18.35417","UK",TRUE,18.35417,102,18.353815,156.255319148936
299,57,1.04899,"ERR5414104","20.448009","UK",TRUE,20.44801,103,19.923515,157.787234042553
299,58,3.15021,"ERR5413658","22.549221","UK",TRUE,22.54923,104,20.974125,159.31914893617
301,59,0.00071,"ERR5412687","18.367553","UK",TRUE,18.36755,106,18.367195,162.382978723404
302,60,0.00071,"ERR5413637","19.401322","UK",TRUE,19.40132,107,19.400965,163.914893617021
302,61,0.00071,"ERR5412461","19.401322","UK",TRUE,19.40132,108,19.400965,165.446808510638
300,62,0.00071,"ERR5413929","18.35417","UK",TRUE,18.35417,105,18.353815,160.851063829787
303,63,0.00071,"ERR5412226","17.30325","UK",TRUE,17.30325,56,17.302895,85.7872340425532
304,64,0.00071,"ERR5414282","17.30396","UK",TRUE,17.30396,57,17.303605,87.3191489361702
305,65,0.00071,"SRR6044934","17.30467","UK",TRUE,17.30467,58,17.304315,88.8510638297872
308,66,0.00071,"ERR5413135","17.3068","UK",TRUE,17.3068,68,17.306445,104.170212765957
309,67,0.00071,"ERR5413592","17.30751","UK",TRUE,17.30751,69,17.307155,105.702127659574
312,68,0.00071,"ERR5412236","17.30964","UK",TRUE,17.30964,71,17.309285,108.765957446809
312,69,0.00071,"ERR5412281","17.30964","UK",TRUE,17.30964,72,17.309285,110.297872340426
311,70,0.00071,"ERR5412213","17.30893","UK",TRUE,17.30893,70,17.308575,107.234042553191
319,71,0.00071,"ERR5413914","19.405646","UK",TRUE,19.40564,82,19.405285,125.617021276596
319,72,0.00071,"ERR5414043","19.405646","UK",TRUE,19.40564,83,19.405285,127.148936170213
318,73,0.00071,"ERR5413586","18.359182","UK",TRUE,18.35918,81,18.358825,124.085106382979
317,74,5.28009,"ERR5413960","22.591148","UK",TRUE,22.59115,80,19.951105,122.553191489362
316,75,1.04831,"ERR5412041","18.358661","UK",TRUE,18.35866,79,17.834505,121.021276595745
320,76,0.00071,"ERR5412564","17.31106","UK",TRUE,17.31106,77,17.310705,117.957446808511
320,77,0.00071,"SRR6046745","17.31106","UK",TRUE,17.31106,78,17.310705,119.489361702128
